AcquisitionYear,Business,ParentCompany,Category
2007,Business Intelligence software,Microsoft,Computing_platform
2007,Computer security,Google,Internet_Search
2007,Social networking service,Google,Internet_Search
2016,Machine learning,Apple,Computing_platform
2007,Web feed,Google,Internet_Search
2007,Information technology,Microsoft,Computing_platform
2007,Parallel processing,Google,Internet_Search
2007,Master Data Management,Microsoft,Computing_platform
2007,Presentation program,Google,Internet_Search
2007,College sports,Yahoo,Internet_Search
2007,Networking,Microsoft,Computing_platform
2007,Voice over IP,Google,Internet_Search
2007,Communications security,Google,Internet_Search
2016,Video game streaming,Microsoft,Computing_platform
2007,Offline applications/Web desktop,Facebook,SNS
2007,Aerial photography,Google,Internet_Search
2007,Security Software Testing,IBM,Computing_platform
2007,Digital marketing,Microsoft,Computing_platform
2007,Ad Exchange,Microsoft,Computing_platform
2007,Web conferencing and communications,IBM,Computing_platform
2007,Advertising network,Yahoo,Internet_Search
2007,Business Intelligence,IBM,Computing_platform
2016,Cloud software,Google,Internet_Search
2007,News site,Yahoo,Internet_Search
2007,Collaborative software,Yahoo,Internet_Search
2007,Social networking service,Google,Internet_Search
2007,Search engine,Microsoft,Computing_platform
2007,Enterprise messaging software,Microsoft,Computing_platform
2007,Storage Consulting and Technology Services,IBM,Computing_platform
2016,AI-powered scheduling assistant service,Microsoft,Computing_platform
2008,Business Intelligence,IBM,Computing_platform
2008,Software,Microsoft,Computing_platform
2008,Database Software,IBM,Computing_platform
2008,Data backup services,IBM,Computing_platform
2008,Browser extension,Yahoo,Internet_Search
2008,Software,Microsoft,Computing_platform
2008,Video on demand,Yahoo,Internet_Search
2016,Personal health info collection company,Apple,Computing_platform
2008,Enterprise Single Sign-On,IBM,Computing_platform
2008,Advertising yield management software,Microsoft,Computing_platform
2008,Rootkit security software,Microsoft,Computing_platform
2008,Online search software,Microsoft,Computing_platform
2008,Mobile Internet software,Microsoft,Computing_platform
2008,Data De-duplication,IBM,Computing_platform
2016,API management and predictive analytics,Google,Internet_Search
2008,Application Recovery Software,IBM,Computing_platform
2008,Semiconductors,Apple,Computing_platform
2008,Data Feed Connectors,IBM,Computing_platform
2008,Browser extension,Yahoo,Internet_Search
2008,Software,Microsoft,Computing_platform
2008,Management software,Microsoft,Computing_platform
2008,Social networking,Facebook,SNS
2016,Location-based analytics,Google,Internet_Search
2008,"Mainframe, System Z technologies",IBM,Computing_platform
2008,Online video,Google,Internet_Search
2008,Semantic Search,Microsoft,Computing_platform
2008,Data software,Microsoft,Computing_platform
2008,Search and e-commerce services,Microsoft,Computing_platform
2008,Virtualization Software,IBM,Computing_platform
2016,Natural language processing,Google,Internet_Search
2009,Data Discovery Software,IBM,Computing_platform
2009,Bioinformatics solutions for life science research,Microsoft,Computing_platform
2009,Maps,Apple,Computing_platform
2009,Webmail applications,Yahoo,Internet_Search
2009,Source code analysis,IBM,Computing_platform
2009,Statistical analysis software,IBM,Computing_platform
2009,Video compression,Google,Internet_Search
2016,Modular Electronics,Facebook,SNS
2009,Social networking aggregator,Facebook,SNS
2009,Security,Google,Internet_Search
2009,Software,Microsoft,Computing_platform
2009,Voice over IP,Google,Internet_Search
2009,Mobile advertising,Google,Internet_Search
2009,Online advertising,Google,Internet_Search
2009,Database monitoring and protection,IBM,Computing_platform
2009,Collaborative real-time editor,Google,Internet_Search
2009,Music streaming,Apple,Computing_platform
2009,Identity and Access Management Software for Healthcare,Microsoft,Computing_platform
2009,Business Process Management,IBM,Computing_platform
2010,Mobile advertising,Apple,Computing_platform
2010,Public sector consulting,IBM,Computing_platform
2010,Data integrity software,IBM,Computing_platform
2010,Social search,Google,Internet_Search
2010,Network Automation software,IBM,Computing_platform
2016,Risk management and regulatory compliance,IBM,Computing_platform
2010,Email search,Google,Internet_Search
2010,Photo editing,Google,Internet_Search
2010,Photo management,Facebook,SNS
2010,Microsoft Office files sharing site,Google,Internet_Search
2010,Sports Social media,Yahoo,Internet_Search
2010,Online video platform start-up,Google,Internet_Search
2010,Server CPUs,Google,Internet_Search
2010,Voice control software,Apple,Computing_platform
2010,Semiconductors,Apple,Computing_platform
2010,Cloud Integration,IBM,Computing_platform
2010,Application localization,Apple,Computing_platform
2010,Intellectual property/patents,Facebook,SNS
2010,Video and audio compression,Google,Internet_Search
